== Oracle read-only metadata ==
-- date: 2026-09-12T16:09:43+08:00
===== TABLE COLUMNS: CDC_DATA_SOURCE_RUN_STATE =====

 COLUMN_ID COLUMN_NAME			DATA_TYPE	   DATA_LENGTH N
---------- ---------------------------- ------------------ ----------- -
	 1 CLIENT_ID			VARCHAR2		    64 N
	 2 DATA_SOURCE_ID		VARCHAR2		    64 N
	 3 SNAPSHOT_STATUS		VARCHAR2		    32 N
	 4 SNAPSHOT_LAST_SEEN_AT	DATE			     7 Y
	 5 SNAPSHOT_COMPLETED_AT	DATE			     7 Y
	 6 UPDATED_AT			DATE			     7 N
===== TABLE COLUMNS: CDC_CLIENT_MULTIPLE =====

 COLUMN_ID COLUMN_NAME			DATA_TYPE	   DATA_LENGTH N
---------- ---------------------------- ------------------ ----------- -
	 1 CLIENT_ID			VARCHAR2		    32 N
	 2 CLIENT_DESC			VARCHAR2		  1024 Y
	 3 DATA_SOURCE_ID		VARCHAR2		  1024 Y
	 4 FG_ACTIVE			VARCHAR2		     1 N
===== TABLE COLUMNS: CDC_DATA_SOURCE =====

 COLUMN_ID COLUMN_NAME			DATA_TYPE	   DATA_LENGTH N
---------- ---------------------------- ------------------ ----------- -
	 1 DATA_SOURCE_ID		VARCHAR2		    32 N
	 2 DATA_SOURCE_ORG		VARCHAR2		    64 N
	 3 DATA_SOURCE_HOST		VARCHAR2		    64 N
	 4 DATA_SOURCE_PORT		VARCHAR2		    64 N
	 5 DATA_SOURCE_USER_NAME	VARCHAR2		    64 N
	 6 DATA_SOURCE_PASSWORD 	VARCHAR2		    64 N
	 7 DATA_SOURCE_TYPE		VARCHAR2		    32 N
	 8 DATA_SOURCE_SERVICE_NAME	VARCHAR2		    64 N
	 9 INSERT_TIME			DATE			     7 Y
	10 UPDATE_TIME			DATE			     7 Y
	11 DELETE_TIME			DATE			     7 Y
	12 FG_ACTIVE			VARCHAR2		     1 Y
	13 DATA_SOURCE_DOMAIN		VARCHAR2		    32 Y
	14 DATA_SOURCE_CATEGORY 	VARCHAR2		    30 Y
	15 SOURCE_APP			VARCHAR2		    20 Y
	16 DATA_SOURCE_NAME		VARCHAR2		    30 Y
	17 DATA_SOURCE_BIZ_ATTR 	VARCHAR2		  2000 Y
